"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2025 г.)"
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",36
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",364
"61. Свердловская область","3_1","Число погибших на 100 пострадавших",9
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",537
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",59
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",725
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","7,525510204"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",312
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",35
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",425
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","7,608695652"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",190
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",20
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",259
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","7,168458781"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",35
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",4
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",41
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","8,888888889"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",396
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",47
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",482
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","8,884688091"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",2083
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",209
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2758
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7,044152342"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",46
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",1
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",56
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","1,754385965"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",58
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",8
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",68
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","10,52631579"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",65
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",4
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",93
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","4,12371134"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",261
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",29
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",357
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","7,512953368"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",414
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",46
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",538
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","7,876712329"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",240
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",31
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",308
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9,144542773"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",315
